time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.251,-0.10,0.99,-0.11,0.67,-0.18,-0.09,-0.02,4.22,0.12,973.59
1.253,-0.10,0.99,-0.11,0.67,-0.18,-0.09,-0.00,4.13,0.41,973.59
1.255,-0.10,0.99,-0.11,-0.25,-0.04,-0.39,-0.00,4.13,0.41,973.59
1.323,-0.22,0.97,-0.20,-0.25,-0.04,-0.39,-0.00,4.13,0.41,973.59
1.327,-0.22,0.97,-0.20,-0.25,-0.04,-0.39,0.13,3.08,0.50,973.59
1.329,-0.22,0.97,-0.20,-0.25,-0.04,-0.39,0.13,3.08,0.50,973.59
1.331,-0.22,0.97,-0.20,-1.88,-0.22,-0.76,0.13,3.08,0.50,973.59
1.363,-0.35,0.96,-0.18,-1.88,-0.22,-0.76,0.13,3.08,0.50,973.59
1.368,-0.35,0.96,-0.18,-1.88,-0.22,-0.76,0.08,0.51,0.53,973.59
1.373,-0.35,0.96,-0.18,-2.91,-0.18,-0.05,0.08,0.51,0.53,973.59
1.447,0.61,1.28,0.21,-2.91,-0.18,-0.05,0.08,0.51,0.53,973.59
1.454,0.61,1.28,0.21,-2.91,-0.18,-0.05,0.17,-0.28,0.92,973.59
1.457,0.61,1.28,0.21,5.87,2.84,3.39,0.17,-0.28,0.92,973.59
1.5,0.19,0.99,-0.04,5.87,2.84,3.39,0.17,-0.28,0.92,973.59
1.503,0.19,0.99,-0.04,5.87,2.84,3.39,0.26,-0.28,0.73,973.59
1.505,0.19,0.99,-0.04,5.87,2.84,3.39,0.26,-0.28,0.73,973.58
1.507,0.19,0.99,-0.04,1.28,-0.01,0.79,0.26,-0.28,0.73,973.58
1.581,0.14,1.00,-0.15,1.28,-0.01,0.79,0.26,-0.28,0.73,973.58
1.587,0.14,1.00,-0.15,1.28,-0.01,0.79,0.33,-0.20,0.51,973.58
1.592,0.14,1.00,-0.15,0.43,0.09,-0.15,0.33,-0.20,0.51,973.58
1.654,0.13,0.99,-0.19,0.43,0.09,-0.15,0.33,-0.20,0.51,973.58
1.663,0.13,0.99,-0.19,0.43,0.09,-0.15,0.30,-0.07,0.32,973.58
1.669,0.13,0.99,-0.19,-0.20,0.20,-0.20,0.30,-0.07,0.32,973.58
1.675,0.18,0.98,-0.18,-0.20,0.20,-0.20,0.30,-0.07,0.32,973.58
1.682,0.18,0.98,-0.18,-0.20,0.20,-0.20,0.18,0.11,0.09,973.58
1.688,0.18,0.98,-0.18,-0.20,0.20,-0.20,0.18,0.11,0.09,973.59
1.693,0.18,0.98,-0.18,0.09,0.10,0.04,0.18,0.11,0.09,973.59
1.743,0.14,0.99,-0.18,0.09,0.10,0.04,0.18,0.11,0.09,973.59
1.747,0.14,0.99,-0.18,0.09,0.10,0.04,0.21,0.14,0.10,973.59
1.749,0.14,0.99,-0.18,-0.29,0.23,0.13,0.21,0.14,0.10,973.59
1.838,0.14,0.96,-0.15,-0.29,0.23,0.13,0.21,0.14,0.10,973.59
1.848,0.14,0.96,-0.15,-0.29,0.23,0.13,0.23,0.22,0.15,973.59
1.852,0.14,0.96,-0.15,-0.21,-0.10,0.46,0.23,0.22,0.15,973.59
1.854,0.12,0.98,-0.24,-0.21,-0.10,0.46,0.23,0.22,0.15,973.59
1.856,0.12,0.98,-0.24,-0.21,-0.10,0.46,0.27,0.14,0.11,973.59
1.858,0.12,0.98,-0.24,-0.21,-0.10,0.46,0.27,0.14,0.11,973.59
1.86,0.12,0.98,-0.24,-0.41,0.15,-0.30,0.27,0.14,0.11,973.59
1.968,0.11,0.90,-0.22,-0.41,0.15,-0.30,0.27,0.14,0.11,973.59
1.982,0.11,0.90,-0.22,-0.41,0.15,-0.30,0.16,0.57,0.33,973.59
1.986,0.11,0.90,-0.22,-0.57,-0.63,0.06,0.16,0.57,0.33,973.59
1.989,0.13,1.00,-0.26,-0.57,-0.63,0.06,0.16,0.57,0.33,973.59
1.992,0.13,1.00,-0.26,-0.57,-0.63,0.06,0.06,0.50,0.42,973.59
1.995,0.13,1.00,-0.26,-0.31,0.43,-0.23,0.06,0.50,0.42,973.59
2.019,0.10,0.93,-0.18,-0.31,0.43,-0.23,0.06,0.50,0.42,973.59
2.022,0.10,0.93,-0.18,-0.31,0.43,-0.23,0.05,0.79,0.84,973.59
2.023,0.10,0.93,-0.18,-0.31,0.43,-0.23,0.05,0.79,0.84,973.60
2.025,0.10,0.93,-0.18,-0.76,-0.31,0.54,0.05,0.79,0.84,973.60
2.135,-0.07,1.20,-0.24,-0.76,-0.31,0.54,0.05,0.79,0.84,973.60
2.139,-0.07,1.20,-0.24,-0.76,-0.31,0.54,-0.07,1.09,1.27,973.60
2.145,-0.07,1.20,-0.24,-2.94,2.44,-0.33,-0.07,1.09,1.27,973.60
2.148,-0.01,1.24,0.27,-2.94,2.44,-0.33,-0.07,1.09,1.27,973.60
2.15,-0.01,1.24,0.27,-2.94,2.44,-0.33,0.07,0.42,2.17,973.60
2.151,-0.01,1.24,0.27,-2.51,2.75,3.88,0.07,0.42,2.17,973.60
2.239,0.29,1.12,-0.16,-2.51,2.75,3.88,0.07,0.42,2.17,973.60
2.242,0.29,1.12,-0.16,-2.51,2.75,3.88,0.39,1.05,2.20,973.60
2.244,0.29,1.12,-0.16,-2.51,2.75,3.88,0.39,1.05,2.20,973.61
2.246,0.29,1.12,-0.16,-0.68,1.89,-0.62,0.39,1.05,2.20,973.61
2.259,0.32,1.05,-0.07,-0.68,1.89,-0.62,0.39,1.05,2.20,973.61
2.262,0.32,1.05,-0.07,-0.68,1.89,-0.62,0.35,1.85,0.44,973.61
2.263,0.32,1.05,-0.07,-1.57,1.82,0.53,0.35,1.85,0.44,973.61
2.396,-0.12,0.77,-0.02,-1.57,1.82,0.53,0.35,1.85,0.44,973.61
2.412,-0.12,0.77,-0.02,-1.57,1.82,0.53,0.32,1.64,-0.91,973.61
2.417,-0.12,0.77,-0.02,-4.51,-1.62,0.55,0.32,1.64,-0.91,973.61
2.422,0.09,0.85,0.07,-4.51,-1.62,0.55,0.32,1.64,-0.91,973.61
2.426,0.09,0.85,0.07,-4.51,-1.62,0.55,0.29,0.63,-1.86,973.61
2.43,0.09,0.85,0.07,-4.51,-1.62,0.55,0.29,0.63,-1.86,973.60
2.434,0.09,0.85,0.07,-1.53,-1.18,1.14,0.29,0.63,-1.86,973.60
2.445,0.29,1.05,-0.02,-1.53,-1.18,1.14,0.29,0.63,-1.86,973.60
2.448,0.29,1.05,-0.02,-1.53,-1.18,1.14,0.12,0.18,-2.71,973.60
2.452,0.29,1.05,-0.02,1.29,0.58,0.19,0.12,0.18,-2.71,973.60
